application_date,decision_date,country,visa_type,processing_office
24-05-2024,14-08-2024,USA,Work,New York
17-12-2024,13-03-2025,UK,Dependent,Toronto
08-05-2024,05-09-2024,India,Student,Sydney
04-08-2024,23-11-2024,UK,Student,Delhi
19-06-2024,30-09-2024,USA,Work,New York
14-08-2024,28-10-2024,Australia,Business,Berlin
05-01-2024,24-01-2024,India,Tourist,Berlin
19-01-2024,09-05-2024,UK,Dependent,Berlin
16-03-2024,15-05-2024,USA,Student,London
05-07-2024,02-11-2024,India,Work,New York
15-12-2024,20-01-2025,Australia,Student,London
13-10-2024,08-02-2025,Canada,Dependent,Sydney
20-03-2024,24-04-2024,USA,Tourist,Toronto
13-01-2024,09-02-2024,Australia,Work,Toronto
08-12-2024,02-04-2025,Australia,Tourist,London
22-03-2024,05-07-2024,Australia,Student,Toronto
20-01-2024,13-05-2024,Canada,Tourist,New York
23-08-2024,11-10-2024,UK,Tourist,New York
13-01-2024,11-04-2024,USA,Business,London
22-05-2024,14-09-2024,India,Work,London
24-11-2024,02-02-2025,Canada,Dependent,London
15-01-2024,03-02-2024,UK,Tourist,Berlin
15-05-2024,24-05-2024,India,Dependent,Toronto
25-06-2024,01-10-2024,UK,Business,Berlin
18-09-2024,07-10-2024,Canada,Dependent,New York
10-05-2024,20-05-2024,Australia,Business,Delhi
23-09-2024,09-01-2025,Germany,Tourist,London
08-08-2024,21-08-2024,Australia,Work,Berlin
09-06-2024,06-09-2024,India,Work,Berlin
07-06-2024,05-09-2024,Canada,Work,Toronto
22-12-2024,02-02-2025,Germany,Tourist,New York
03-08-2024,01-11-2024,Canada,Tourist,Berlin
,30-11-2024,Canada,Dependent,Delhi
04-06-2024,15-07-2024,USA,Business,Berlin
06-11-2024,02-02-2025,UK,Business,Toronto
14-08-2024,13-11-2024,USA,Dependent,Toronto
27-03-2024,24-06-2024,India,Work,Berlin
05-12-2024,01-03-2025,Germany,Work,Delhi
30-04-2024,30-07-2024,UK,Tourist,New York
16-03-2024,24-03-2024,India,Tourist,Toronto
08-11-2024,01-03-2025,India,Business,Toronto
18-11-2024,04-02-2025,USA,Business,Toronto
23-07-2024,28-08-2024,USA,Student,Delhi
05-08-2024,07-09-2024,USA,Dependent,Toronto
26-01-2024,11-04-2024,USA,Student,Toronto
09-03-2024,24-06-2024,Canada,Dependent,Berlin
31-10-2024,15-12-2024,Canada,Dependent,Sydney
15-09-2024,13-11-2024,Germany,Business,New York
31-08-2024,01-11-2024,UK,Tourist,Sydney
21-05-2024,01-09-2024,Germany,Business,Sydney
02-05-2024,11-06-2024,Canada,Student,Sydney
26-05-2024,30-06-2024,UK,Work,London
03-10-2024,18-10-2024,USA,Tourist,New York
15-07-2024,16-10-2024,USA,Tourist,Delhi
31-07-2024,26-09-2024,UK,Dependent,Toronto
31-07-2024,12-08-2024,USA,Business,Toronto
26-10-2024,28-01-2025,India,Dependent,Toronto
01-09-2024,06-09-2024,UK,Work,Toronto
02-08-2024,14-10-2024,Australia,Dependent,Berlin
22-04-2024,28-06-2024,USA,Work,Toronto
05-09-2024,13-09-2024,Canada,Work,Sydney
13-12-2024,30-03-2025,Canada,Tourist,Toronto
06-03-2024,29-05-2024,Germany,Student,Toronto
30-10-2024,15-01-2025,Australia,Student,Delhi
25-11-2024,23-01-2025,USA,Business,New York
26-01-2024,04-03-2024,Canada,Work,New York
20-08-2024,05-10-2024,UK,Business,London
03-08-2024,09-09-2024,India,Business,Delhi
03-10-2024,14-10-2024,UK,Tourist,Sydney
05-02-2024,19-05-2024,Australia,Student,Delhi
06-05-2024,05-06-2024,India,Dependent,New York
02-05-2024,23-05-2024,Canada,Student,Berlin
21-04-2024,24-06-2024,Australia,Work,London
26-03-2024,16-06-2024,Germany,Student,New York
08-06-2024,26-06-2024,Germany,Student,London
21-10-2024,20-01-2025,Canada,Business,Sydney
11-04-2024,25-04-2024,Germany,Tourist,Delhi
22-12-2024,04-04-2025,UK,Dependent,Delhi
16-10-2024,29-01-2025,India,Work,Berlin
07-08-2024,04-11-2024,UK,Student,Berlin
27-11-2024,14-01-2025,India,Business,Toronto
24-02-2024,24-04-2024,UK,Business,Sydney
19-03-2024,18-05-2024,USA,Dependent,Sydney
18-05-2024,09-08-2024,Germany,Business,Toronto
11-08-2024,29-11-2024,Australia,Dependent,London
14-06-2024,06-10-2024,USA,Student,London
18-08-2024,23-09-2024,Canada,Dependent,Berlin
08-12-2024,30-01-2025,UK,Student,Toronto
15-06-2024,13-07-2024,Canada,Tourist,London
12-05-2024,29-06-2024,UK,Dependent,Sydney
21-05-2024,05-08-2024,India,Dependent,New York
13-02-2024,19-03-2024,Australia,Business,Toronto
11-10-2024,21-01-2025,USA,Business,Sydney
30-12-2024,07-03-2025,Canada,Student,Delhi
30-05-2024,02-07-2024,Canada,Tourist,London
05-12-2024,22-02-2025,UK,Business,Berlin
28-09-2024,16-11-2024,Canada,Dependent,London
29-06-2024,01-10-2024,Canada,Work,London
08-05-2024,11-06-2024,India,Tourist,London
02-03-2024,10-06-2024,Germany,Tourist,New York
20-04-2024,28-07-2024,Canada,Work,Sydney
28-10-2024,07-02-2025,Germany,Dependent,London
21-02-2024,11-06-2024,USA,Work,New York
03-07-2024,30-07-2024,UK,Student,Sydney
30-09-2024,21-10-2024,UK,Student,Delhi
10-10-2024,21-11-2024,Australia,Tourist,Sydney
08-09-2024,26-09-2024,India,Dependent,London
28-08-2024,02-11-2024,Canada,Work,New York
27-01-2024,04-03-2024,Canada,Student,Delhi
24-07-2024,29-09-2024,India,Dependent,Sydney
17-12-2024,28-12-2024,USA,Tourist,Berlin
04-06-2024,19-06-2024,USA,Student,Berlin
01-08-2024,22-10-2024,Germany,Dependent,New York
24-09-2024,16-11-2024,Canada,Business,London
28-10-2024,26-12-2024,UK,Dependent,Berlin
31-01-2024,23-04-2024,Australia,Student,New York
16-11-2024,18-12-2024,UK,Student,New York
02-05-2024,29-05-2024,Germany,Student,New York
02-01-2024,28-02-2024,Canada,Dependent,Toronto
29-05-2024,07-06-2024,USA,Work,Sydney
24-05-2024,26-08-2024,Canada,Student,Sydney
29-04-2024,06-06-2024,Australia,Dependent,Sydney
11-04-2024,09-06-2024,India,Dependent,New York
27-11-2024,21-12-2024,UK,Tourist,Delhi
31-01-2024,26-02-2024,UK,Dependent,Sydney
18-10-2024,28-11-2024,Canada,Student,Toronto
18-12-2024,30-01-2025,Australia,Business,London
13-09-2024,26-11-2024,Canada,Business,Delhi
02-11-2024,12-11-2024,Canada,Work,Berlin
08-05-2024,16-05-2024,India,Tourist,Sydney
21-10-2024,09-01-2025,India,Work,Berlin
21-01-2024,02-05-2024,USA,Business,Berlin
29-11-2024,29-01-2025,UK,Tourist,Berlin
11-08-2024,05-11-2024,Canada,Student,Toronto
27-06-2024,23-08-2024,UK,Work,Sydney
23-02-2024,16-06-2024,USA,Work,Toronto
21-12-2024,27-02-2025,UK,Business,Berlin
19-01-2024,22-03-2024,India,Work,London
14-06-2024,03-07-2024,Canada,Dependent,Delhi
02-12-2024,28-03-2025,Germany,Business,Toronto
28-01-2024,26-02-2024,Germany,Work,Berlin
12-09-2024,06-12-2024,Canada,Student,New York
16-05-2024,30-07-2024,USA,Work,Toronto
23-12-2024,28-02-2025,India,Student,Sydney
07-11-2024,22-02-2025,USA,Tourist,London
09-10-2024,15-10-2024,Germany,Business,Delhi
25-04-2024,15-08-2024,India,Business,Delhi
27-11-2024,18-03-2025,USA,Business,Sydney
29-05-2024,07-08-2024,Australia,Work,Toronto
04-09-2024,08-11-2024,USA,Business,Berlin
15-03-2024,08-05-2024,USA,Dependent,Berlin
10-03-2024,03-07-2024,India,Work,Toronto
23-06-2024,06-10-2024,Germany,Work,Delhi
24-05-2024,29-08-2024,UK,Dependent,Berlin
03-12-2024,08-02-2025,USA,Business,Berlin
04-09-2024,23-10-2024,UK,Dependent,Berlin
12-07-2024,13-09-2024,UK,Tourist,Sydney
02-05-2024,19-07-2024,Canada,Tourist,Toronto
23-01-2024,08-03-2024,Australia,Business,Sydney
14-07-2024,06-09-2024,Australia,Tourist,Toronto
19-01-2024,09-02-2024,Germany,Dependent,London
21-02-2024,16-06-2024,Canada,Student,Berlin
21-08-2024,27-08-2024,Australia,Tourist,Toronto
01-12-2024,25-12-2024,India,Business,London
22-06-2024,14-09-2024,Australia,Business,Sydney
11-02-2024,04-06-2024,UK,Dependent,Toronto
11-06-2024,04-09-2024,Australia,Business,Berlin
19-01-2024,12-04-2024,India,Tourist,Sydney
16-12-2024,26-01-2025,USA,Student,Toronto
20-02-2024,01-06-2024,Australia,Student,Toronto
26-03-2024,27-06-2024,UK,Student,Delhi
15-06-2024,29-09-2024,India,Work,London
10-07-2024,08-09-2024,USA,Tourist,Berlin
29-07-2024,14-10-2024,Australia,Tourist,New York
30-03-2024,14-04-2024,Germany,Business,Berlin
15-12-2024,19-01-2025,Canada,Dependent,New York
28-04-2024,01-07-2024,Australia,Work,Toronto
10-05-2024,08-08-2024,India,Business,London
12-12-2024,24-02-2025,USA,Student,Toronto
25-06-2024,13-09-2024,UK,Business,Sydney
08-05-2024,10-07-2024,UK,Tourist,Toronto
04-09-2024,22-09-2024,USA,Business,Berlin
02-07-2024,18-09-2024,UK,Work,Delhi
03-12-2024,27-01-2025,UK,Student,Berlin
17-12-2024,31-03-2025,Australia,Student,Berlin
11-09-2024,31-12-2024,UK,Tourist,Berlin
29-06-2024,01-08-2024,Australia,Tourist,Berlin
08-05-2024,07-08-2024,Australia,Tourist,Sydney
19-02-2024,18-06-2024,Australia,Student,London
13-08-2024,22-08-2024,Germany,Work,Sydney
08-03-2024,24-03-2024,UK,Work,Sydney
31-07-2024,27-08-2024,USA,Tourist,Berlin
06-07-2024,16-09-2024,Germany,Work,New York
11-05-2024,29-08-2024,Canada,Work,Sydney
22-06-2024,07-10-2024,India,Business,Delhi
13-03-2024,22-06-2024,USA,Business,Berlin
06-07-2024,22-07-2024,Canada,Student,London
01-10-2024,21-10-2024,Canada,Work,Sydney
10-12-2024,17-01-2025,Germany,Business,Sydney
09-07-2024,27-07-2024,Australia,Tourist,Toronto
13-01-2024,06-04-2024,Germany,Work,Berlin
23-04-2024,19-07-2024,India,Business,Sydney
03-06-2024,30-08-2024,Canada,Student,New York
24-01-2024,02-02-2024,UK,Business,Delhi
19-02-2024,25-03-2024,Germany,Tourist,Toronto
20-08-2024,11-10-2024,Australia,Dependent,Toronto
27-10-2024,04-02-2025,Australia,Tourist,Toronto
01-12-2024,18-12-2024,Canada,Dependent,Toronto
23-05-2024,01-06-2024,Australia,Work,New York
15-08-2024,15-10-2024,USA,Work,Delhi
17-12-2024,07-02-2025,Germany,Work,Delhi
22-07-2024,31-08-2024,USA,Student,Toronto
16-02-2024,15-05-2024,USA,Dependent,Delhi
26-01-2024,10-05-2024,UK,Tourist,New York
16-10-2024,16-11-2024,India,Dependent,New York
27-10-2024,28-11-2024,USA,Work,New York
01-11-2024,06-11-2024,UK,Tourist,New York
03-10-2024,09-11-2024,USA,Student,Sydney
14-01-2024,04-02-2024,India,Work,New York
28-10-2024,13-12-2024,India,Tourist,London
27-01-2024,17-02-2024,Australia,Business,Berlin
28-02-2024,07-06-2024,India,Business,Toronto
04-07-2024,12-09-2024,Germany,Student,Toronto
14-09-2024,17-10-2024,Germany,Student,Sydney
03-12-2024,12-02-2025,UK,Business,Sydney
16-01-2024,28-01-2024,Canada,Business,Toronto
17-12-2024,04-01-2025,Canada,Business,Delhi
11-02-2024,28-03-2024,Germany,Tourist,Delhi
05-03-2024,14-04-2024,Germany,Dependent,Berlin
30-12-2024,14-02-2025,Canada,Dependent,Berlin
30-05-2024,01-08-2024,Germany,Dependent,Toronto
20-02-2024,05-06-2024,Australia,Student,Sydney
29-11-2024,26-03-2025,Germany,Tourist,Toronto
19-08-2024,15-12-2024,USA,Business,London
20-08-2024,15-10-2024,Canada,Student,London
06-08-2024,20-09-2024,Australia,Work,London
19-03-2024,19-06-2024,Canada,Student,Delhi
13-02-2024,29-02-2024,Canada,Student,Sydney
09-07-2024,25-10-2024,USA,Dependent,Delhi
27-10-2024,11-01-2025,Germany,Work,Sydney
03-03-2024,29-04-2024,UK,Business,Sydney
27-01-2024,08-03-2024,Germany,Work,London
23-02-2024,11-05-2024,Germany,Tourist,New York
02-12-2024,06-02-2025,USA,Student,London
11-10-2024,02-12-2024,India,Work,Berlin
25-04-2024,11-08-2024,Canada,Dependent,Berlin
10-11-2024,09-02-2025,Australia,Dependent,Delhi
07-11-2024,04-02-2025,Australia,Work,Delhi
02-04-2024,11-05-2024,Australia,Work,London
28-06-2024,03-07-2024,USA,Tourist,Berlin
02-12-2024,27-01-2025,India,Tourist,Sydney
20-11-2024,28-11-2024,India,Dependent,New York
11-07-2024,07-09-2024,Canada,Work,New York
08-07-2024,21-08-2024,Australia,Work,Berlin
01-11-2024,16-11-2024,India,Tourist,New York
12-11-2024,23-11-2024,Australia,Student,London
14-08-2024,11-11-2024,Canada,Business,Berlin
14-08-2024,11-10-2024,UK,Tourist,Berlin
28-02-2024,17-04-2024,Canada,Student,London
13-12-2024,14-03-2025,Germany,Business,Berlin
07-12-2024,20-01-2025,India,Tourist,Toronto
02-11-2024,14-11-2024,India,Tourist,London
18-04-2024,30-07-2024,USA,Work,London
16-06-2024,06-07-2024,India,Business,Sydney
08-08-2024,04-09-2024,USA,Business,Berlin
26-12-2024,29-01-2025,Germany,Dependent,Sydney
30-06-2024,14-07-2024,Canada,Student,Toronto
10-01-2024,13-03-2024,India,Work,Berlin
07-08-2024,24-10-2024,Canada,Business,London
28-02-2024,24-04-2024,India,Work,New York
12-11-2024,14-01-2025,Australia,Work,Delhi
11-08-2024,02-12-2024,India,Tourist,Toronto
28-10-2024,23-12-2024,Germany,Student,Toronto
07-06-2024,15-09-2024,UK,Tourist,London
27-03-2024,10-04-2024,Germany,Student,Berlin
18-09-2024,17-10-2024,UK,Work,Sydney
26-11-2024,15-03-2025,USA,Tourist,Delhi
15-03-2024,21-04-2024,USA,Tourist,Berlin
19-03-2024,29-06-2024,Australia,Student,New York
17-11-2024,24-01-2025,Canada,Dependent,Berlin
17-08-2024,17-11-2024,Germany,Dependent,London
17-11-2024,01-01-2025,USA,Business,Delhi
28-08-2024,28-10-2024,Australia,Work,London
29-10-2024,10-11-2024,UK,Dependent,Delhi
07-06-2024,10-08-2024,Canada,Student,Delhi
07-07-2024,26-10-2024,UK,Student,Sydney
16-02-2024,09-05-2024,Germany,Dependent,Toronto
24-08-2024,11-11-2024,Germany,Student,Toronto
19-10-2024,15-01-2025,USA,Work,Berlin
31-08-2024,08-11-2024,USA,Student,Toronto
22-02-2024,09-06-2024,UK,Student,Berlin
26-11-2024,23-12-2024,India,Tourist,Sydney
12-08-2024,12-10-2024,Germany,Dependent,Berlin
22-03-2024,12-05-2024,UK,Work,Toronto
28-07-2024,09-11-2024,UK,Dependent,Delhi
19-11-2024,14-02-2025,UK,Student,London
18-02-2024,04-05-2024,Australia,Business,London
09-05-2024,14-08-2024,Australia,Dependent,New York
19-06-2024,04-07-2024,Germany,Tourist,London
07-06-2024,03-09-2024,Australia,Business,New York
31-10-2024,03-02-2025,India,Work,Berlin
11-07-2024,06-10-2024,UK,Tourist,Sydney
25-12-2024,15-04-2025,Australia,Dependent,Delhi
26-11-2024,24-02-2025,Canada,Dependent,London
10-01-2024,01-03-2024,UK,Tourist,New York
23-06-2024,04-10-2024,Canada,Tourist,New York
11-03-2024,04-04-2024,India,Work,Delhi
16-09-2024,28-12-2024,Germany,Dependent,Delhi
04-12-2024,21-01-2025,Germany,Tourist,Berlin
11-07-2024,04-08-2024,USA,Tourist,Sydney
15-11-2024,03-03-2025,USA,Business,Delhi
29-07-2024,18-09-2024,Australia,Tourist,Toronto
08-11-2024,19-12-2024,Australia,Business,New York
30-09-2024,04-11-2024,UK,Business,New York
07-07-2024,06-10-2024,Germany,Business,Toronto
24-05-2024,05-09-2024,Canada,Dependent,Berlin
02-08-2024,27-08-2024,USA,Dependent,New York
08-05-2024,19-05-2024,Australia,Business,London
10-10-2024,28-10-2024,Australia,Dependent,Delhi
25-05-2024,09-06-2024,USA,Work,Toronto
19-09-2024,12-10-2024,Canada,Student,New York
18-08-2024,14-12-2024,UK,Student,Toronto
28-01-2024,23-03-2024,Germany,Work,New York
16-07-2024,31-07-2024,UK,Tourist,Delhi
12-06-2024,29-06-2024,Australia,Work,New York
11-03-2024,20-03-2024,UK,Business,Sydney
12-03-2024,22-06-2024,Australia,Business,Toronto
11-11-2024,16-11-2024,India,Student,London
20-04-2024,09-08-2024,USA,Dependent,Sydney
07-11-2024,18-01-2025,Canada,Student,London
01-05-2024,13-06-2024,India,Student,New York
02-08-2024,27-10-2024,Germany,Business,Delhi
26-02-2024,17-06-2024,Canada,Dependent,Berlin
09-01-2024,03-04-2024,Germany,Dependent,New York
14-03-2024,25-04-2024,Canada,Student,Berlin
29-06-2024,03-08-2024,Germany,Business,New York
06-12-2024,06-03-2025,India,Dependent,London
04-02-2024,16-04-2024,Germany,Dependent,Berlin
10-10-2024,17-10-2024,Canada,Business,Delhi
21-11-2024,14-01-2025,UK,Work,Sydney
09-01-2024,28-02-2024,India,Work,New York
02-12-2024,25-02-2025,India,Dependent,Sydney
19-06-2024,11-07-2024,India,Work,Berlin
22-06-2024,09-10-2024,Australia,Tourist,Sydney
25-08-2024,27-11-2024,Canada,Tourist,New York
02-02-2024,08-05-2024,Canada,Student,London
13-04-2024,23-04-2024,USA,Student,London
07-06-2024,16-08-2024,Canada,Dependent,Toronto
09-05-2024,18-05-2024,Australia,Tourist,London
01-07-2024,24-10-2024,India,Work,London
04-03-2024,19-06-2024,UK,Business,Toronto
13-08-2024,10-12-2024,Canada,Work,New York
11-09-2024,13-12-2024,Canada,Work,Berlin
16-05-2024,31-08-2024,India,Business,Delhi
08-08-2024,29-10-2024,USA,Dependent,London
13-06-2024,01-07-2024,India,Work,Sydney
31-05-2024,14-07-2024,Canada,Dependent,Sydney
06-08-2024,01-09-2024,Australia,Business,London
16-08-2024,26-08-2024,Australia,Work,Berlin
10-08-2024,19-09-2024,Australia,Student,Delhi
09-12-2024,05-03-2025,Canada,Work,Berlin
13-12-2024,07-01-2025,India,Tourist,Berlin
13-12-2024,28-03-2025,Canada,Student,New York
04-02-2024,10-03-2024,Australia,Work,London
15-07-2024,30-09-2024,India,Dependent,New York
13-12-2024,13-02-2025,UK,Work,Toronto
09-02-2024,27-04-2024,USA,Dependent,London
22-07-2024,05-09-2024,Australia,Work,New York
28-02-2024,07-03-2024,Australia,Tourist,Toronto
22-09-2024,15-11-2024,Germany,Student,London
13-05-2024,16-08-2024,Canada,Tourist,Berlin
26-05-2024,27-08-2024,Canada,Tourist,Delhi
10-03-2024,02-07-2024,India,Business,New York
31-12-2024,02-03-2025,India,Work,Sydney
26-06-2024,29-09-2024,India,Dependent,Berlin
28-05-2024,24-09-2024,UK,Tourist,Sydney
29-12-2024,02-04-2025,Australia,Tourist,London
17-09-2024,20-10-2024,India,Tourist,New York
01-05-2024,15-08-2024,Canada,Student,London
10-10-2024,27-12-2024,UK,Business,Berlin
07-03-2024,29-05-2024,India,Student,London
22-07-2024,26-10-2024,Australia,Business,Berlin
29-07-2024,09-11-2024,Canada,Dependent,Delhi
05-03-2024,19-04-2024,Australia,Student,Toronto
26-08-2024,26-11-2024,Germany,Work,New York
09-10-2024,03-01-2025,Germany,Tourist,New York
09-08-2024,17-10-2024,India,Student,Berlin
19-03-2024,01-05-2024,USA,Tourist,London
29-12-2024,31-01-2025,UK,Dependent,London
10-02-2024,18-03-2024,USA,Dependent,London
05-03-2024,29-05-2024,UK,Dependent,Berlin
17-02-2024,26-04-2024,Australia,Tourist,Berlin
24-10-2024,17-11-2024,USA,Dependent,Sydney
05-11-2024,23-12-2024,Germany,Student,Delhi
11-02-2024,21-02-2024,Australia,Dependent,London
29-11-2024,30-12-2024,Germany,Business,Berlin
23-11-2024,01-12-2024,Canada,Dependent,London
24-11-2024,06-01-2025,Canada,Tourist,Sydney
26-07-2024,07-09-2024,Canada,Student,Sydney
31-01-2024,25-02-2024,Canada,Business,Toronto
25-08-2024,25-09-2024,UK,Dependent,New York
09-06-2024,02-10-2024,Australia,Work,Sydney
25-06-2024,20-08-2024,USA,Work,Berlin
14-10-2024,01-11-2024,UK,Tourist,Toronto
03-03-2024,11-04-2024,Canada,Tourist,New York
19-02-2024,01-03-2024,UK,Business,Berlin
02-08-2024,07-09-2024,USA,Work,Berlin
09-06-2024,08-07-2024,USA,Business,Berlin
27-08-2024,03-11-2024,UK,Business,Delhi
16-02-2024,11-04-2024,Germany,Business,New York
20-04-2024,08-07-2024,UK,Student,Delhi
24-05-2024,31-07-2024,Germany,Business,London
01-10-2024,07-10-2024,India,Business,New York
15-05-2024,21-08-2024,UK,Business,London
24-01-2024,20-03-2024,India,Dependent,Berlin
09-04-2024,30-05-2024,Germany,Work,Delhi
16-07-2024,23-09-2024,Canada,Dependent,London
15-11-2024,15-02-2025,Germany,Student,New York
19-02-2024,14-04-2024,UK,Work,Berlin
06-07-2024,15-10-2024,USA,Tourist,Berlin
17-09-2024,12-11-2024,Germany,Student,Delhi
20-01-2024,11-02-2024,Australia,Work,Toronto
22-09-2024,24-11-2024,USA,Dependent,Berlin
12-03-2024,27-04-2024,Germany,Work,New York
20-07-2024,11-10-2024,Australia,Work,Berlin
21-06-2024,29-08-2024,Germany,Dependent,Toronto
28-12-2024,15-03-2025,UK,Business,Delhi
07-07-2024,23-08-2024,Australia,Student,Toronto
25-10-2024,08-12-2024,Australia,Student,Berlin
30-08-2024,07-10-2024,Australia,Dependent,Berlin
26-04-2024,01-08-2024,India,Dependent,Toronto
28-03-2024,08-06-2024,Australia,Dependent,Toronto
16-03-2024,04-07-2024,Australia,Tourist,Delhi
20-10-2024,22-01-2025,India,Tourist,Delhi
13-08-2024,27-09-2024,Canada,Tourist,Toronto
19-12-2024,19-01-2025,Canada,Dependent,Berlin
29-08-2024,23-12-2024,Australia,Student,Sydney
11-03-2024,21-05-2024,USA,Dependent,London
05-12-2024,09-02-2025,Germany,Business,London
29-03-2024,31-05-2024,Germany,Work,Berlin
30-06-2024,29-09-2024,Australia,Work,Berlin
04-09-2024,03-10-2024,USA,Work,Berlin
01-06-2024,04-07-2024,UK,Work,Sydney
16-04-2024,18-07-2024,Australia,Business,London
02-09-2024,21-10-2024,Germany,Work,London
03-03-2024,20-05-2024,Australia,Dependent,Toronto
21-07-2024,07-11-2024,UK,Tourist,London
22-01-2024,03-03-2024,Australia,Student,London
14-08-2024,10-11-2024,UK,Business,New York
13-04-2024,01-08-2024,Germany,Work,Berlin
22-12-2024,30-01-2025,USA,Student,Berlin
27-10-2024,01-12-2024,USA,Student,Sydney
28-09-2024,31-10-2024,Australia,Tourist,Delhi
21-02-2024,18-04-2024,UK,Business,Delhi
14-12-2024,27-03-2025,USA,Student,Berlin
21-03-2024,17-05-2024,Australia,Business,Toronto
29-11-2024,29-12-2024,UK,Work,London
26-11-2024,08-12-2024,India,Dependent,New York
30-09-2024,07-01-2025,Australia,Student,New York
01-08-2024,26-11-2024,USA,Student,Toronto
10-09-2024,08-10-2024,Australia,Work,Delhi
05-01-2024,17-02-2024,Germany,Dependent,Delhi
20-06-2024,31-07-2024,Canada,Dependent,Berlin
09-09-2024,05-01-2025,USA,Dependent,Toronto
19-05-2024,17-06-2024,India,Work,New York
22-08-2024,17-11-2024,UK,Tourist,Delhi
21-06-2024,05-10-2024,UK,Dependent,Sydney
08-04-2024,05-05-2024,Germany,Business,Toronto
